delta_t,pws_pwf,pws,tdt,t_dt
1,NaN,3330,301,301
1.37,NaN,3348,301.37,219.9781022
2.05,NaN,3367,302.05,147.3414634
2.9,NaN,3388,302.9,104.4482759
4.3,NaN,3410,304.3,70.76744186
6.2,NaN,3430,306.2,49.38709677
8,NaN,3447,308,38.5
10,NaN,3461,310,31
11,NaN,3470,311,28.27272727
12,NaN,3476,312,26
13.5,NaN,3482,313.5,23.22222222
15,NaN,3490,315,21
22,NaN,3515,322,14.63636364
45,NaN,3565,345,7.666666667
85,NaN,3609,385,4.529411765
127,NaN,3637,427,3.362204724
170,NaN,3658,470,2.764705882
282,NaN,3693,582,2.063829787
310,NaN,3698,610,1.967741935
335,NaN,3705,635,1.895522388
